"Gene","GeneName"
"LOC725316","PREDICTED: transmembrane protein 208"
"LOC724327","PREDICTED: C-factor"
"LOC724328","PREDICTED: arrestin domain-containing protein 3"
"LOC724330","PREDICTED: protein FAM45A-like"
"LOC724332","PREDICTED: rho guanine nucleotide exchange factor 3-like"
"LOC724333","PREDICTED: beta-1-syntrophin"
"LOC724336","PREDICTED: tRNA dimethylallyltransferase, mitochondrial-like"
"LOC724338","PREDICTED: OTU domain-containing protein 5-B"
"LOC724339","PREDICTED: phosphatidylinositol N-acetylglucosaminyltransferase subunit Q"
"LOC724343","PREDICTED: DNA-directed RNA polymerase III subunit RPC9-like"
"LOC724344","PREDICTED: probable Ras GTPase-activating protein"
"LOC724352","PREDICTED: zinc finger protein 593 homolog"
"LOC724353","PREDICTED: prion-like-(Q/N-rich) domain-bearing protein 25"
"LOC724356","PREDICTED: RING finger protein 17"
"LOC724357","PREDICTED: uncharacterized protein LOC724357"
"LOC724361","PREDICTED: GPI inositol-deacylase"
"LOC724363","PREDICTED: activator of basal transcription 1-like"
"LOC725308","PREDICTED: histone H2A-like"
"LOC725142","PREDICTED: U6 snRNA-associated Sm-like protein LSm2"
"LOC725379","PREDICTED: uncharacterized protein C3orf18 homolog"
"LOC725232","PREDICTED: uncharacterized protein LOC725232"
"LOC724488","PREDICTED: protein lethal(2)essential for life-like"
"LOC725530","PREDICTED: uncharacterized protein LOC725530"
"LOC725036","PREDICTED: U7 snRNA-associated Sm-like protein LSm11"
"LOC725311","PREDICTED: longitudinals lacking protein-like"
"LOC726088","PREDICTED: serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"
"LOC724373","PREDICTED: homeobox protein Nkx-2.5-like"
"LOC724375","PREDICTED: ski oncogene"
"LOC724378","PREDICTED: BMP and activin membrane-bound inhibitor homolog"
"LOC724380","PREDICTED: protein phosphatase 1 regulatory subunit 21"
"LOC724382","PREDICTED: peritrophin-1"
"LOC724386","PREDICTED: epididymal secretory protein E1-like"
"LOC724388","PREDICTED: solute carrier family 35 member G1-like"
"LOC724390","PREDICTED: uncharacterized protein LOC724390"
"LOC724393","PREDICTED: uncharacterized protein LOC724393"
"LOC724398","PREDICTED: gibberellin-regulated protein 14"
"LOC724399","PREDICTED: lethal(2)neighbour of Tid protein"
"LOC726034","PREDICTED: G patch domain and ankyrin repeat-containing protein 1 homolog"
"LOC725310","PREDICTED: synaptobrevin-1"
"LOC725742","PREDICTED: vacuolar ATPase assembly integral membrane protein VMA21 homolog"
"LOC725143","PREDICTED: probable U3 small nucleolar RNA-associated protein 11"
"LOC726428","PREDICTED: probable RNA-binding protein EIF1AD"
"LOC725646","PREDICTED: N-acetylneuraminate lyase-like"
"LOC725416","PREDICTED: U1 small nuclear ribonucleoprotein C"
"LOC725851","PREDICTED: actin, indirect flight muscle-like"
"LOC725383","PREDICTED: 60S ribosomal protein L38"
"LOC726058","PREDICTED: FACT complex subunit Ssrp1"
"LOC724410","PREDICTED: uncharacterized protein LOC724410"
"LOC724412","PREDICTED: muscle segmentation homeobox"
"LOC724418","PREDICTED: venom acid phosphatase Acph-1-like"
"LOC724420","PREDICTED: transcription factor stalky-like"
"LOC724422","PREDICTED: homeobox protein Hox-B1a"
"LOC724433","PREDICTED: neprilysin-1"
"LOC724435","PREDICTED: ribosomal RNA-processing protein 8"
"LOC406124","PREDICTED: gamma-aminobutyric acid receptor subunit beta"
"LOC724436","PREDICTED: phospholipase A2-like"
"LOC724439","PREDICTED: uncharacterized protein LOC724439"
"LOC724440","PREDICTED: calcium-transporting ATPase type 2C member 1"
"LOC725099","PREDICTED: spermidine synthase"
"LOC725146","PREDICTED: very-long-chain enoyl-CoA reductase"
"LOC724457","PREDICTED: uncharacterized protein LOC724457"
"LOC724463","PREDICTED: PI-PLC X domain-containing protein 3"
"LOC724465","PREDICTED: enhancer of split mbeta protein-like"
"LOC724466","PREDICTED: uncharacterized protein LOC724466"
"LOC724467","PREDICTED: iron-sulfur cluster assembly 2 homolog, mitochondrial-like"
"LOC724474","PREDICTED: la-related protein 7"
"LOC724483","PREDICTED: coiled-coil domain-containing protein 65-like"
"LOC725450","PREDICTED: histone H2A"
"LOC725273","PREDICTED: uncharacterized protein LOC725273"
"LOC726408","PREDICTED: zinc finger protein 706-like"
"LOC725309","PREDICTED: keratin-associated protein 19-2-like"
"LOC725717","PREDICTED: polycomb group RING finger protein 3"
"LOC725678","PREDICTED: actin-related protein 2/3 complex subunit 3"
"LOC725186","PREDICTED: chromatin modification-related protein MEAF6"
"LOC726056","PREDICTED: 60S ribosomal protein L21"
"LOC726196","PREDICTED: ubiquitin-fold modifier 1"
"LOC725884","PREDICTED: 60S acidic ribosomal protein P2"
"LOC724499","PREDICTED: mitochondrial pyruvate carrier 2-like"
"LOC724505","PREDICTED: PAB-dependent poly(A)-specific ribonuclease subunit PAN2"
"LOC724507","PREDICTED: RIB43A-like with coiled-coils protein 1"
"LOC724510","PREDICTED: neuropathy target esterase sws"
"LOC724511","PREDICTED: zinc finger protein 234-like"
"LOC724513","PREDICTED: zinc finger protein 816-like"
"LOC724516","PREDICTED: 39S ribosomal protein L50, mitochondrial-like"
"LOC724517","PREDICTED: la-related protein 1B"
"LOC724519","PREDICTED: vacuolar protein sorting-associated protein 72 homolog"
"LOC724521","PREDICTED: uncharacterized protein LOC724521"
"LOC724527","PREDICTED: coiled-coil domain-containing protein 28A"
"LOC724529","PREDICTED: dynein light chain 4, axonemal"
"LOC726221","PREDICTED: transmembrane protein 14C"
"LOC725811","PREDICTED: E3 ubiquitin-protein ligase RNF181-like"
"LOC725566","PREDICTED: succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"
"LOC726009","PREDICTED: malignant T-cell-amplified sequence 1 homolog"
"LOC725719","PREDICTED: DNA-directed RNA polymerase I subunit RPA2"
"LOC725647","PREDICTED: 40S ribosomal protein S6"
"LOC724536","PREDICTED: uncharacterized protein LOC724536"
"LOC724537","PREDICTED: ubiquitin carboxyl-terminal hydrolase 36"
"LOC724539","PREDICTED: probable serine/threonine-protein kinase irlB"
"LOC724543","PREDICTED: cytochrome c, testis-specific-like"
"LOC724548","PREDICTED: integrin alpha-PS2"
"LOC724550","PREDICTED: iduronate 2-sulfatase"
"LOC724551","PREDICTED: BRCA1-associated RING domain protein 1-like"
"LOC724552","PREDICTED: elongation of very long chain fatty acids protein AAEL008004-like"
"LOC724557","PREDICTED: plant intracellular Ras-group-related LRR protein 7-like"
"LOC724558","PREDICTED: uncharacterized protein LOC724558"
"LOC724559","PREDICTED: cell cycle checkpoint protein RAD17"
"LOC724560","PREDICTED: fatty acyl-CoA reductase 1-like"
"LOC724561","PREDICTED: DC-STAMP domain-containing protein 1-like"
"LOC724563","PREDICTED: uncharacterized protein LOC724563"
"LOC724571","PREDICTED: atrial natriuretic peptide receptor 1"
"LOC725274","PREDICTED: 3-hydroxyacyl-CoA dehydrogenase type-2-like"
"LOC725183","PREDICTED: probable palmitoyltransferase ZDHHC24"
"LOC725491","PREDICTED: cx9C motif-containing protein 4"
"LOC725813","PREDICTED: uncharacterized protein LOC725813"
"LOC725572","PREDICTED: ribonuclease kappa-B"
"LOC724585","PREDICTED: uncharacterized protein LOC724585"
"LOC724587","PREDICTED: nucleotide exchange factor SIL1"
"LOC724591","PREDICTED: Hermansky-Pudlak syndrome 3 protein"
"LOC724596","PREDICTED: transducin beta-like protein 3"
"LOC724600","PREDICTED: mitochondrial fission process protein 1"
"LOC724602","PREDICTED: FMRFamide receptor"
"LOC724608","PREDICTED: transient receptor potential protein"
"LOC724616","PREDICTED: neprilysin-11"
"LOC724618","PREDICTED: cysteine-rich motor neuron 1 protein, partial"
"LOC724619","PREDICTED: multiple inositol polyphosphate phosphatase 1"
"LOC724624","PREDICTED: endocuticle structural glycoprotein SgAbd-1"
"LOC725452","PREDICTED: uncharacterized protein LOC725452"
"LOC725743","PREDICTED: signal recognition particle 9 kDa protein"
"LOC725943","PREDICTED: ubiquitin-60S ribosomal protein L40"
"LOC726013","PREDICTED: 40S ribosomal protein S20"
"LOC724635","PREDICTED: tRNA:m(4)X modification enzyme TRM13 homolog"
"LOC724638","PREDICTED: H/ACA ribonucleoprotein complex subunit 3"
"LOC724639","PREDICTED: myeloma-overexpressed gene 2 protein homolog"
"LOC724644","PREDICTED: uncharacterized protein LOC724644"
"LOC724646","PREDICTED: uncharacterized protein LOC724646"
"LOC724648","PREDICTED: N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase"
"LOC724653","PREDICTED: intraflagellar transport protein 43 homolog"
"LOC724659","PREDICTED: ribonuclease P protein subunit rpr2"
"LOC724664","PREDICTED: A-agglutinin anchorage subunit-like"
"LOC724665","PREDICTED: protein SET"
"LOC724666","PREDICTED: 2-aminoethanethiol dioxygenase"
"LOC724669","PREDICTED: peptidyl-prolyl cis-trans isomerase NIMA-interacting 4"
"LOC726446","PREDICTED: uncharacterized protein LOC726446"
"LOC726297","PREDICTED: cytochrome c oxidase subunit 7C, mitochondrial"
"LOC724681","PREDICTED: bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]"
"LOC724683","PREDICTED: oxidative stress-responsive serine-rich protein 1"
"LOC724685","PREDICTED: protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like"
"LOC724687","PREDICTED: disks large-associated protein 5-like"
"LOC724688","PREDICTED: biogenesis of lysosome-related organelles complex 1 subunit 6"
"LOC724690","PREDICTED: RING finger protein 37"
"LOC724692","PREDICTED: protein AAR2 homolog"
"LOC724698","PREDICTED: uncharacterized protein LOC724698"
"LOC724703","PREDICTED: coagulation factor X"
"LOC724708","PREDICTED: 39S ribosomal protein L23, mitochondrial"
"LOC724710","PREDICTED: transmembrane protein 59-like"
"LOC724715","PREDICTED: lisH domain-containing protein FOPNL-like"
"LOC725641","PREDICTED: U6 snRNA-associated Sm-like protein LSm5"
"LOC726323","PREDICTED: uncharacterized protein LOC726323"
"LOC726411","PREDICTED: immunoglobulin domain-containing protein oig-1-like"
"LOC724720","PREDICTED: vacuolar protein sorting-associated protein 37B"
"LOC724721","PREDICTED: farnesol dehydrogenase-like"
"LOC724727","PREDICTED: homeobox protein PKNOX2-like"
"LOC724728","PREDICTED: NF-kappa-B essential modulator"
"LOC724731","PREDICTED: kinesin-like protein KIF23"
"LOC724734","PREDICTED: hemicentin-1-like"
"LOC724741","PREDICTED: lipase maturation factor 2-like"
"LOC724742","PREDICTED: probable methyltransferase-like protein 15 homolog"
"LOC724743","PREDICTED: PRKC apoptosis WT1 regulator protein-like"
"LOC724744","PREDICTED: 28S ribosomal protein S14, mitochondrial"
"LOC724750","PREDICTED: ER membrane protein complex subunit 10"
"LOC724752","PREDICTED: E3 ubiquitin-protein ligase TRIM71"
"LOC725977","PREDICTED: protein SYS1 homolog"
"LOC726086","PREDICTED: gem-associated protein 8-like"
"LOC725568","PREDICTED: uncharacterized protein LOC725568"
"LOC724760","PREDICTED: G-protein coupled receptor Mth2"
"LOC724761","PREDICTED: uncharacterized protein LOC724761"
"LOC724762","PREDICTED: ras-related protein Rab-28-like"
"LOC724763","PREDICTED: odorant receptor 9a"
"LOC724767","PREDICTED: sodium channel protein Nach"
"LOC724768","PREDICTED: uncharacterized protein LOC724768"
"LOC724769","PREDICTED: protein C10"
"LOC724770","PREDICTED: uncharacterized protein LOC724770"
"LOC724772","PREDICTED: leucine-rich repeat neuronal protein 1-like"
"LOC724773","PREDICTED: uncharacterized protein LOC724773"
"LOC724775","PREDICTED: tudor domain-containing protein 3"
"LOC724778","PREDICTED: LIM homeobox transcription factor 1-beta-like"
"LOC724779","PREDICTED: leucine-rich repeat-containing protein 15-like"
"LOC724780","PREDICTED: G-protein coupled receptor Mth2-like"
"LOC724781","PREDICTED: uncharacterized protein LOC724781"
"LOC724785","PREDICTED: ran-binding protein 3"
"LOC724786","PREDICTED: zinc finger HIT domain-containing protein 3"
"LOC724789","PREDICTED: STAM-binding protein"
"LOC724790","PREDICTED: 39S ribosomal protein L41, mitochondrial"
"LOC726407","PREDICTED: uncharacterized protein LOC726407"
"LOC726118","PREDICTED: uncharacterized protein LOC726118"
"LOC724795","PREDICTED: WAS protein family homolog 1-like"
"LOC724796","PREDICTED: homeobox protein SIX6"
"LOC724799","PREDICTED: (E3-independent) E2 ubiquitin-conjugating enzyme UBE2O"
"LOC724801","PREDICTED: brain-specific homeobox protein homolog"
"LOC724803","PREDICTED: membrane metallo-endopeptidase-like 1"
"LOC724808","PREDICTED: tubulin-specific chaperone E-like"
"LOC724810","PREDICTED: mucin-5AC"
"LOC724819","PREDICTED: mitotic spindle assembly checkpoint protein MAD1"
"LOC724823","PREDICTED: limbic system-associated membrane protein, partial"
"LOC724826","PREDICTED: protein EFR3 homolog cmp44E"
"LOC724827","PREDICTED: NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7"
"LOC726322","PREDICTED: uncharacterized protein LOC726322"
"LOC726629","PREDICTED: uncharacterized protein LOC726629"
"LOC724835","PREDICTED: uncharacterized protein LOC724835"
"LOC724842","PREDICTED: elongator complex protein 5"
"LOC724847","PREDICTED: uncharacterized protein LOC724847"
"LOC724850","PREDICTED: BRO1 domain-containing protein BROX-like"
"LOC724851","PREDICTED: LIM domain only protein 3-like"
"LOC724853","PREDICTED: probable G-protein coupled receptor Mth-like 1"
"LOC724856","PREDICTED: uncharacterized protein LOC724856"
"LOC724862","PREDICTED: nuclear envelope integral membrane protein 1-like"
"LOC724867","PREDICTED: elongation of very long chain fatty acids protein AAEL008004-like"
"LOC726409","PREDICTED: peptidyl-prolyl cis-trans isomerase H"
"LOC726850","PREDICTED: cytochrome b5-like"
"LOC724879","PREDICTED: methionine aminopeptidase 1D, mitochondrial"
"LOC724885","PREDICTED: zinc finger protein 395"
"LOC724888","PREDICTED: ras association domain-containing protein 2"
"LOC724890","PREDICTED: laccase-1-like"
"LOC724892","PREDICTED: histidine-rich glycoprotein-like"
"LOC724895","PREDICTED: arginine-glutamic acid dipeptide repeats protein-like"
"LOC724896","PREDICTED: transmembrane protein 170A"
"LOC724897","PREDICTED: endocuticle structural glycoprotein SgAbd-8"
"LOC726521","PREDICTED: transmembrane protein 203"
"LOC726860","PREDICTED: cytochrome b5-like"
"LOC724903","PREDICTED: protein tipE"
"LOC724904","PREDICTED: acylphosphatase-2"
"LOC724907","PREDICTED: 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like"
"LOC724908","PREDICTED: Krueppel-like factor 11"
"LOC724909","PREDICTED: uncharacterized protein LOC724909"
"LOC724914","PREDICTED: protein hairy-like"
"LOC724915","PREDICTED: Usher syndrome type-1G protein homolog"
"LOC724917","PREDICTED: uncharacterized protein LOC724917"
"LOC724920","PREDICTED: anaphase-promoting complex subunit 15-like"
"LOC724921","PREDICTED: uncharacterized protein LOC724921"
"LOC724924","PREDICTED: protein FAM117B-like"
"LOC724929","PREDICTED: serine/threonine-protein kinase tricorner"
"LOC724931","PREDICTED: C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8"
"LOC724932","PREDICTED: xyloside xylosyltransferase 1"
"LOC724936","PREDICTED: uncharacterized protein LOC724936"
"LOC724937","PREDICTED: zinc finger CCCH domain-containing protein 14"
"LOC724939","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC724939"
"LOC724943","PREDICTED: phosphatidylinositol glycan anchor biosynthesis class U protein"
"LOC726369","PREDICTED: peptidyl-tRNA hydrolase 2, mitochondrial-like"
"LOC726486","PREDICTED: uncharacterized protein LOC726486"
"LOC726429","PREDICTED: uncharacterized protein LOC726429"
"LOC724951","PREDICTED: 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like"
"LOC724952","PREDICTED: sodium-independent sulfate anion transporter-like"
"LOC724953","PREDICTED: U6 snRNA phosphodiesterase"
"LOC724954","PREDICTED: heat shock protein 67B2-like"
"LOC724971","PREDICTED: uncharacterized protein LOC724971"
"LOC724974","PREDICTED: tubulin polyglutamylase TTLL7-like"
"LOC724977","PREDICTED: partitioning defective protein 6"
"LOC724979","PREDICTED: forkhead box protein A2-A-like"
"LOC724983","PREDICTED: retinal homeobox protein Rx1"
"LOC724985","PREDICTED: torsin-1A"
"LOC724987","PREDICTED: chitinase-like protein Idgf4"
"LOC724988","PREDICTED: uncharacterized protein LOC724988"
"LOC726447","PREDICTED: histone H2B"
"LOC726721","PREDICTED: protein transport protein Sec61 subunit gamma"
"LOC724991","PREDICTED: phosphatidylinositol 4-phosphate 5-kinase type-1 beta"
"LOC724995","PREDICTED: 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like"
"LOC724997","PREDICTED: protein naked cuticle homolog 2-like"
"LOC724999","PREDICTED: sodium/bile acid cotransporter 7-like"
"LOC725008","PREDICTED: protein trapped in endoderm-1"
"LOC725009","PREDICTED: putative uncharacterized protein DDB_G0282133"
"LOC725011","PREDICTED: mitochondrial inner membrane protein COX18"
"LOC725012","PREDICTED: zinc finger protein 25-like"
"LOC725013","PREDICTED: sister chromatid cohesion protein DCC1"
"LOC725015","PREDICTED: monocarboxylate transporter 3"
"LOC725018","PREDICTED: phosphomevalonate kinase"
"LOC725023","PREDICTED: mediator of RNA polymerase II transcription subunit 26"
"LOC725025","PREDICTED: peroxisome biogenesis factor 10-like"
"LOC725028","PREDICTED: F-box only protein 6-like"
"LOC725041","PREDICTED: slit homolog 1 protein-like"
"LOC725045","PREDICTED: protein DPCD"
"LOC725047","PREDICTED: nucleolin 1"
"LOC725050","PREDICTED: UPF0193 protein EVG1"
"LOC725052","PREDICTED: odorant receptor 13a"
"LOC725053","PREDICTED: protein odd-skipped"
"LOC725054","PREDICTED: nuclear envelope phosphatase-regulatory subunit 1"
"LOC725056","PREDICTED: glyoxylate/hydroxypyruvate reductase A-like"
"LOC725057","PREDICTED: coatomer subunit beta"
"LOC725058","PREDICTED: GS homeobox 1-like"
"LOC725059","PREDICTED: protein kish-A"
"LOC725060","PREDICTED: coenzyme Q-binding protein COQ10 homolog B, mitochondrial"
"LOC725061","PREDICTED: uncharacterized protein LOC725061"
"LOC725062","PREDICTED: 39S ribosomal protein L4, mitochondrial"
"LOC725070","PREDICTED: DNA fragmentation factor subunit alpha"
